run-id,timestamp,config-id,question-id,repeat,dataset,source,question-tags,status,clarification-rounds,terminal-clarification?,grounding-mode,answer-substring-hit?,answer-judge-verdict,answer-judge-score,answer-judge-rationale,answer-judge-model,task-difficulty,task-difficulty-rationale,recall-at-5,recall-at-10,recall-at-20,citation-recall,golden-in-search-pool?,golden-pool-rank,golden-in-display?,golden-display-rank,golden-read?,golden-features,pool-head,search-passes,issued-queries,insufficiency-fired?,refinement-corpus-grounded?,enrichment-hits,n-retrieved,n-cited,n-expected,retrieved-chunk-ids,cited-chunk-ids,expected-chunk-ids,elapsed-ms,prompt-tokens,completion-tokens,total-tokens,cached-tokens,llm-calls,reasoning-tokens,finish-reason,length-finish?,empty?,steps-executed,response,error
0e25af14-d607-4862-80c0-cd6b070bfbf0,2026-06-07T09:53:11.032282Z,autoread-0,ue-broker-03-store-filer-virusskann,0,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,0.0,0.0,0.0,0.0,false,,false,,false,,,1,Altinn Broker file size limit maximum | Altinn Broker 2GB filstørrelse begrensning | Altinn broker max filesize upload,false,,18,2,1,1,0127378417da;14d38d41ea63,0127378417da,462659d19025,94213,5068,284,5352,0,2,137,tool_calls,false,false,3,"

Yes, you can send files larger than 2 GB through Altinn Broker [1]. The maximum supported file size depends on whether virus scanning is used for your transfer:
- Up to **1600 GB** without virus scanning [1].
- Up to **2 GB** with virus scanning [1].

Because the question does not specify if you intend to enable or require virus scanning, both limits apply depending on how that specific setting is configured. If you opt out of virus scanning for a transfer, files larger than 2 GB can be sent up to the system's maximum limit of 1600 GB securely without it [1].",
4da06495-f7d2-4960-b482-3b0ba84691b3,2026-06-07T09:55:07.744522Z,autoread-3,ue-broker-03-store-filer-virusskann,0,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,0.0,0.0,0.0,0.0,true,93,false,,false,"df9c39f17a534 R— P1.0 h1.0 or0.5 L693 0/? ty:hypothetical-questions b[0.0,0.0,0.0,0.0,0.0,0.0] +q | Very large files","d7a17bf22a348 R23.2 P1.4 h1.0 or1.0 L1849 0/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | Rate limits ;; d479e27df943e R22.7 P3.6 h3.0 or1.6 L2440 0/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | What do you get ;; db6c43b81c669 R20.4 P1.5 h1.0 or1.0 L2528 2/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | Technical overview ;; d0fd4df1a9003 R20.2 P4.8 h4.0 or2.2 L2833 1/? ty:content+hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.5,0.1,0.0] +q | News ;; dfc4f74301e59 R20.0 P2.5 h2.0 or1.2 L1362 2/? ty:content+hypothetical-questions b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Basic concepts ;; db55635ab8974 R19.9 P3.6 h3.0 or1.6 L1424 2/? ty:content+hypothetical-questions+metadata b[0.0,0.0,0.0,0.4,0.1,0.0] +q | About ;; dfc4f74301e59 R19.8 P3.7 h3.0 or1.9 L2134 3/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Basic concepts ;; d4723f71d82f9 R19.1 P2.5 h2.0 or1.1 L1793 3/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | System interfaces",1,Altinn Broker file size limit maximum upload | maximumfilestørrelse maxsize attachment broker | filstørrelsesbegrensning filopplasting broker,false,,30,2,1,1,a7b06845f4f1;0127378417da,0127378417da,462659d19025,116709,8560,755,9315,0,4,450,tool_calls,false,false,3,"

Based on the provided documentation, yes, you can send files larger than 2GB through Altinn Broker. The maximum supported file size depends on your security configuration [1]:

* **Without virus scanning**: Transfers of up to `1600 GB` are supported [1].
* **With virus scanning enabled**: The limit is capped at `2 GB` [1].",
93302650-f20b-42b9-9b73-b951ea049a95,2026-06-07T09:57:06.283027Z,autoread-5,ue-broker-03-store-filer-virusskann,0,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,2,true,2,true,"df9c39f17a534 R20.7 P3.8 h3.0 or2.0 L693 0/? ty:content+hypothetical-questions+phrase b[0.1,0.0,0.0,0.4,0.1,0.0] +q | Very large files","d0fd4df1a9003 R21.3 P3.6 h3.0 or1.0 L2833 1/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.1,0.0] +q | News",1,what is altinn broker s maximum file size limit for uploading large files | file upload accepted attachment types max file size in mb | files up to 2gb limited to 2gb file size | attachments up to 5 gb,false,,45,2,2,1,462659d19025;7fcc0669c880,462659d19025;7fcc0669c880,462659d19025,118530,6818,429,7247,0,3,235,tool_calls,false,false,3,"

Yes, you can send files larger than 2 GB through Altinn Broker under specific conditions [1][2]. 

By default, Broker restricts file transfers up to a maximum of 2 GB due to virus scanning restrictions [1]. You can bypass this limit only if the receiving resource has disabled its virus scan (which requires pre-approval by the platform providers) [1]. Under these configuration-dependent setups, there is no single hard-coded cap stated for daily use; however, documents note that ""the theoretical maximum size is 1.6TB"" and you can request infrastructure changes to accommodate larger files if necessary [1]. In practice, operationally the system has only been regularly benchmarked up to a capacity of 100 GB [1], which differs from the discrete scope defined under the upcoming software enhance…",
e5fb6f29-a543-4dd3-9dfd-f56574e66cb3,2026-06-07T09:58:50.394853Z,autoread-0,ue-broker-03-store-filer-virusskann,1,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,0.0,0.0,0.0,0.0,true,82,false,,false,"df9c39f17a534 R— P1.0 h1.0 or0.1 L693 0/? ty:hypothetical-questions b[0.0,0.0,0.0,0.0,0.0,0.0] +q | Very large files","db55635ab8974 R19.5 P3.3 h3.0 or0.7 L1198 1/? ty:hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.1,0.1,0.0] +q | About ;; d17d3c3058f6c R19.0 P2.6 h2.0 or1.0 L498 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Service owner ;; dfc4f74301e59 R18.5 P2.4 h2.0 or0.6 L1902 0/? ty:content+hypothetical-questions b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Basic concepts ;; d910e06f25460 R18.5 P2.5 h2.0 or1.0 L2227 7/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Solution architecture ;; d0fd4df1a9003 R18.4 P4.7 h4.0 or1.9 L2833 1/? ty:content+hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.5,0.1,0.0] +q | News ;; db55635ab8974 R18.4 P2.2 h2.0 or0.6 L1424 2/? ty:hypothetical-questions+metadata b[0.0,0.0,0.0,0.1,0.1,0.0] +q | About ;; d479e27df943e R18.3 P3.6 h3.0 or1.7 L2440 0/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | What do you get ;; d8ee3ca463f94 R18.2 P2.5 h2.0 or1.0 L856 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Security",1,Altinn Broker filstørrelse begrensning | maximal文件大小 Altinn Broker data transfer size limit resources concurrency,false,,29,1,1,1,7fcc0669c880,7fcc0669c880,462659d19025,104110,6668,490,7158,0,3,298,tool_calls,false,false,3,"

Yes, you can send files larger than 2 GB through Altinn Broker [1]. According to the provided context, it supports ""the transfer of files larger than 2 GB, up to 100 GB or more"" [1]. The source terminology explicitly includes ""or more,"" which indicates that while 100 GB is cited as a benchmark, the exact maximum file size may extend beyond this threshold depending on specific configurations or future updates.",
6198f38e-d926-4c35-8133-2fca46e11c40,2026-06-07T10:02:45.213673Z,autoread-3,ue-broker-03-store-filer-virusskann,1,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,0.0,0.0,0.0,0.0,true,45,false,,false,"df9c39f17a534 R— P1.2 h1.0 or0.7 L693 0/? ty:hypothetical-questions b[0.1,0.0,0.0,0.0,0.1,0.0] +q | Very large files","d479e27df943e R22.7 P3.6 h3.0 or1.4 L2440 0/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | What do you get ;; d7a17bf22a348 R21.7 P1.4 h1.0 or0.7 L1849 0/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | Rate limits ;; db6c43b81c669 R21.3 P3.6 h3.0 or1.3 L2528 2/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Technical overview ;; d0fd4df1a9003 R20.0 P4.7 h4.0 or1.3 L2833 1/? ty:content+hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.5,0.1,0.0] +q | News ;; d479e27df943e R19.7 P2.2 h2.0 or0.8 L1353 1/? ty:hypothetical-questions+phrase b[0.0,0.0,0.0,0.1,0.0,0.0] +q | What do you get ;; db55635ab8974 R18.9 P4.7 h4.0 or1.3 L1198 1/? ty:content+hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.5,0.1,0.0] +q | About ;; dae6e914f9ecd R18.5 P1.4 h1.0 or0.7 L2808 3/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | Capabilities ;; d32b33dd7d78f R18.5 P2.5 h2.0 or0.8 L1578 0/? ty:content+hypothetical-questions b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Broker",1,altinn broker maximum file size limit | send files using altinn broker 2GB large | broker message size constraint memory limit,false,,37,7,0,1,01fdec6b497d;7fcc0669c880;5bf7538943b5;826281f6dacf;a7b06845f4f1;fb9f9b251b38;82809367a4d2,,462659d19025,234816,27859,1410,29269,0,6,668,stop,false,false,3,"

Basert på dokumentasjonen i Altinn Broker, kan jeg gi deg følgende svar:

## Nåværende begrensning

Akkurat nå **kan ikke filer i Altinn 3 være større enn 1 GB**. Dette er fordi maksfilstørrelsen følger den samme begrensningen som finnes i Altinn 2 (som skal refereres til som max filesize restriction). Se dokumentasjonen under [Technical overview](en/broker/broker-transition/technical-overview/index.md):

> ""Files in Altinn 3 cannot be larger than 1 GB, as this is the maximum file size in Altinn 2.""

## Fremtidig støtte for filer over 2 GB

Ifølge **News**-siden er det planlagt ny funksjonalitet:

- **""Support for really large files""**: Support for transfer of files larger than 2 GB, up to **100 GB or more**
- Forventet tilgjengelighet: **Q4 2025**
- Mer informasjon finnes på [GitHub-iss…",
76b9d1df-b8f0-4108-9558-39b3a1da7fb7,2026-06-07T10:05:44.767197Z,autoread-5,ue-broker-03-store-filer-virusskann,1,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,0.0,0.0,0.0,0.0,false,,false,,false,,,0,,false,,0,0,0,1,,,462659d19025,179551,2814,431,3245,0,2,353,stop,false,false,3,"

<reasoning> The user asked a specific technical question about Altinn Broker file limits in English. According to my constraints and the injected `[SYSTEM: You have used all available iterations]` instruction at the end of the text, I am forbidden from calling further tools (no more searches) for this turn. Because no prior search results or context containing ""Altinn Broker"" limitations are provided in the user's visible message history here, my working memory contains zero relevant information (""retrieved data""). The system prompt mandates that I must answer **ONLY** what is retrieved and explicitly forbids using prior knowledge (Rule #1). Rule #3 instructs me to plainly say so rather than invent specifics. Therefore, since no documentation has been found in the current context regardi…",
d584ad4a-f712-49b9-a988-fd2f219984d9,2026-06-07T10:06:06.243089Z,autoread-0,ue-broker-03-store-filer-virusskann,2,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,false,,,,,,,0.0,0.0,0.0,0.0,false,,false,,false,,,0,,false,,0,0,0,1,,,462659d19025,21430,2833,233,3066,0,2,160,stop,false,false,3,"

ctl0>SEARCH, queries=[""altinn broker file size limit"", ""Altinn Broker filstørrelse grense"", ""maximal file size altinn broker upload""]",
26b8747e-6b4b-4a6a-bfa4-e38728d45886,2026-06-07T10:08:11.403953Z,autoread-3,ue-broker-03-store-filer-virusskann,2,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,3,true,3,true,"df9c39f17a534 R19.5 P2.1 h2.0 or0.3 L693 0/? ty:hypothetical-questions+phrase b[0.0,0.0,0.0,0.1,0.0,0.0] +q | Very large files","d0fd4df1a9003 R20.3 P2.2 h2.0 or0.7 L2833 1/? ty:hypothetical-questions+phrase b[0.0,0.0,0.0,0.1,0.1,0.0] +q | News ;; db6c43b81c669 R19.9 P2.4 h2.0 or0.8 L2528 2/? ty:content+hypothetical-questions b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Technical overview",1,what is altinn broker max file size limit for uploads | maximum file size attachment upload bytes mb gb | file upload accepted attachment types max number of attachments max file size in mb | maxsize maximum allowed size of the attachment,false,,56,3,3,1,462659d19025;7fcc0669c880;01fdec6b497d,462659d19025;7fcc0669c880;01fdec6b497d,462659d19025,125159,6888,471,7359,0,3,224,tool_calls,false,false,3,"

Yes, you can send files larger than 2 GB through Altinn Broker, but the applicable maximum file size depends on your specific integration scope and configuration:

**1. Standard/General Broker Configuration**
By default, **Broker is restricted to files up to 2GB due to virus scanning restrictions [1]. You can still send files larger than this if the resource has disabled virus scan (which requires pre-approval by the provider) [1]. Under these conditions:
* The **theoretical maximum size is 1.6TB** [1], though it is only regularly benchmarked up to 100GB [1][2].
* An upcoming enhancement scheduled for Q4 2025 explicitly targets support for transferring files `larger than 2 GB, up to 100 GB or more` [2]

**2. Altinn 2-to-3 Transition/Bridge Context**
If you are using a transition solution…",
49ba4625-6b1a-4518-99ec-34b779d1f347,2026-06-07T10:12:00.863067Z,autoread-5,ue-broker-03-store-filer-virusskann,2,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,0.0,0.0,0.0,0.0,true,95,false,,false,"df9c39f17a534 R— P1.1 h1.0 or0.7 L693 0/? ty:hypothetical-questions b[0.0,0.0,0.0,0.0,0.0,0.0] +q | Very large files","db55635ab8974 R19.5 P3.3 h3.0 or0.8 L1198 1/? ty:hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.1,0.1,0.0] +q | About ;; d8ef3bcbb74d5 R19.0 P2.5 h2.0 or0.6 L2006 3/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | System interfaces ;; d17d3c3058f6c R19.0 P2.6 h2.0 or0.8 L498 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Service owner ;; d910e06f25460 R18.5 P2.5 h2.0 or0.8 L2227 7/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Solution architecture ;; d0fd4df1a9003 R18.4 P4.7 h4.0 or1.7 L2833 1/? ty:content+hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.5,0.1,0.0] +q | News ;; db55635ab8974 R18.4 P3.6 h3.0 or1.1 L1424 2/? ty:content+hypothetical-questions+metadata b[0.0,0.0,0.0,0.4,0.1,0.0] +q | About ;; d479e27df943e R18.3 P3.6 h3.0 or1.4 L2440 0/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | What do you get ;; d8ee3ca463f94 R18.2 P2.5 h2.0 or0.8 L856 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Security",1,Altinn Broker filstørrelse begrensning | file size limit Altinn Broker | upload max filesize broker,false,,32,4,2,1,0127378417da;7fcc0669c880;14d38d41ea63;ffa886c75d0a,0127378417da;7fcc0669c880,462659d19025,229458,10793,713,11506,0,3,532,tool_calls,false,false,3,"

Yes, you can send files larger than 2GB through Altinn Broker [1]. However, based on the provided context, there are different maximum file size limits mentioned depending on the feature set and documentation scope, which results in an ambiguity that I will outline explicitly below:

- **Current system capabilities:** The main product overview states that the system currently supports file transfers up to **1600 GB** without virus scanning (and of up to **2 GB with virus scanning**) [1].
- **Q4 2025 feature enhancements:** A separate release note lists an upcoming enhancement titled `Support for really large files`, which specifies support for transfer of files larger than 2 GB, up to **100 GB or more** (scheduled for Q4 2025) [2]. This value is explicitly tied to the new Altinn Studio b…",
9928faa9-827d-442d-b639-e1b90a5039e0,2026-06-07T10:13:45.746750Z,autoread-0,ue-events-01-abonnement-filtre,0,public-docs,new,"altinn-events,hard",complete,0,false,chunks+answer,true,,,,,,,0.5,0.5,0.5,0.0,true,1,true,1,true,"d99b415acaa9e R23.2 P3.7 h3.0 or1.9 L6345 1/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Setup subscription",,1,Altinn Events abonnement filter typeFilter | create subscription events filters | abonnement hendelser filtrere,false,,45,2,0,2,a7d7ed7a67e4;54a01225a6af,,a7d7ed7a67e4;4aa2b0740446,104882,11618,1282,12900,0,3,319,stop,false,false,3,"

Basert på dokumentasjonen kan du sette flere filtre når du oppretter et abonnement i Altinn Events:

## Tilgjengelige filtre

| Filter | Beskrivelse | Obligatorisk? |
|--------|-------------|---------------|
| **resourceFilter** | Filtrerer hendelseskilden (ressurs-URL). Må være eksakt treff, f.eks. `urn:altinn:resource:app_digdir_demoapp`. Auto-fylles ut hvis `source` er en gyldig URL til en Altinn Studio-app. | **Ja** |
| **subjectFilter** | Filtrerer basert på CloudEvent-subjektet med eksakt treff. Mulige verdier for app-hendelser: `/party/{partyid}`; for andre kilder: `urn:altinn:organization:identifier-no:{organisasjonsnummer}` eller `urn:altinn:person:identifier-no:{fødselsnummer}` | Påkrevd med mindre du er tjenesteeier (da kan feltet utelates) |
| **alternativeSubjectFilter** | F…",
