run-id,timestamp,config-id,question-id,repeat,dataset,source,question-tags,status,clarification-rounds,terminal-clarification?,grounding-mode,answer-substring-hit?,answer-judge-verdict,answer-judge-score,answer-judge-rationale,answer-judge-model,task-difficulty,task-difficulty-rationale,recall-at-5,recall-at-10,recall-at-20,citation-recall,golden-in-search-pool?,golden-pool-rank,golden-in-display?,golden-display-rank,golden-read?,golden-features,pool-head,search-passes,issued-queries,insufficiency-fired?,refinement-corpus-grounded?,enrichment-hits,n-retrieved,n-cited,n-expected,retrieved-chunk-ids,cited-chunk-ids,expected-chunk-ids,elapsed-ms,prompt-tokens,completion-tokens,total-tokens,cached-tokens,llm-calls,steps-executed,response,error
7062f921-2ea5-4a6d-817e-fbb749aa8cc7,2026-06-02T16:09:14.819013Z,off,ue-broker-03-store-filer-virusskann,0,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"df9c39f17a534 R23.2 P2.6 h2.0 or0.8 L693 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Very large files",,1,altinn broker maximum file size 2gb file size limit send files larger than 2gb | files up to 2gb | maximum file size,false,,0,3,2,1,462659d19025;0127378417da;a7b06845f4f1,462659d19025;0127378417da,462659d19025,14033,4376,327,4703,0,3,3,"Yes, but only under certain conditions. Altinn Broker is restricted to files up to 2 GB by default because of the virus scan limitation [1]. You can send files larger than 2 GB if the resource has disabled virus scan, but such resources must be pre-approved [1].

The maximum file size is described in two ways in the sources: one says the theoretical maximum is 1.6 TB [1], and another says the system supports file transfers up to 1600 GB without virus scanning [2]. These are effectively the same scale, but the source terminology differs, so the safest answer is: up to 1.6 TB / 1600 GB without virus scanning, and up to 2 GB with virus scanning [1][2].",
9108e563-5065-46f1-a224-d1bfa5f81b20,2026-06-02T16:09:28.404809Z,window-2000,ue-broker-03-store-filer-virusskann,0,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"df9c39f17a534 R23.2 P2.6 h2.0 or1.0 L693 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Very large files",,1,altinn broker maximum file size 2gb file size limit send files larger than 2gb | limited to 2gb file size | files larger than 2gb | files up to 2gb | maximum file size | file size below the configured limit,false,,0,3,1,1,462659d19025;050f67e402d9;14d38d41ea63,462659d19025,462659d19025,13583,4413,343,4756,0,3,3,"Yes, but with conditions: Altinn Broker is **restricted to files up to 2GB by default** because of the virus scan limitation, so files larger than 2GB can only be sent if the resource has **disabled virus scan** and that setup has been **pre-approved** [1].  

As for the maximum size, the documentation gives **two different figures**: the **theoretical maximum size is 1.6TB**, while they **regularly benchmark it only up to 100GB** [1]. So the answer depends on whether you mean the documented theoretical limit or the tested/benchmarked size [1].",
867f2af0-f77e-4190-b9e5-c67683c4b2ab,2026-06-02T16:09:40.584970Z,off,ue-broker-03-store-filer-virusskann,1,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"df9c39f17a534 R22.1 P2.6 h2.0 or1.2 L693 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Very large files",,1,altinn broker maximum file size 2gb file size limit | limited to 2gb file size | files larger than 2gb | maximum file size | file size below the configured limit | altinn broker file storage,false,,0,3,1,1,462659d19025;050f67e402d9;a7b06845f4f1,462659d19025,462659d19025,12178,4214,270,4484,0,3,3,"Yes, but only under certain conditions. Altinn Broker is restricted to files up to 2 GB by default because of the virus scan restriction, but you can send files larger than 2 GB if the resource has disabled virus scan; such resources must be pre-approved [1].

As for the maximum file size, the documentation gives two different scopes: the **theoretical maximum size** is **1.6 TB**, while the system is only **regularly benchmarked up to 100 GB** [1]. So the answer depends on whether you mean the documented theoretical limit or the regularly tested size [1].",
e3e46cd6-acbb-4df7-9f2d-54127b47232d,2026-06-02T16:09:53.747790Z,window-2000,ue-broker-03-store-filer-virusskann,1,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"df9c39f17a534 R22.5 P2.6 h2.0 or0.8 L693 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Very large files",,1,altinn broker maximum file size 2 gb file size limit send files larger than 2gb | files up to 2gb | maximum file size,false,,0,1,1,1,462659d19025,462659d19025,462659d19025,13161,4449,255,4704,0,3,3,"Yes, but only under certain conditions: Altinn Broker is restricted to files up to 2 GB by default because of the virus scan limitation, but you can send files larger than 2 GB if the resource has disabled virus scan and that resource has been pre-approved [1].

For the maximum file size, the source gives two different figures depending on scope: the **theoretical maximum size** is **1.6 TB**, while they **regularly benchmark** only up to **100 GB** [1]. The source also says they can make changes to accommodate files larger than 1.6 TB if needed [1].",
f0a1f3be-3cde-4b5d-a481-3faab0ecf406,2026-06-02T16:10:05.945683Z,off,ue-broker-03-store-filer-virusskann,2,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"df9c39f17a534 R23.3 P2.6 h2.0 or1.1 L693 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Very large files",,1,altinn broker maximum file size 2gb send files larger than 2gb | limited to 2gb file size | files larger than 2gb | transfer of files larger than 2 gb | enable files above 2gb | maximum file size,false,,0,5,2,1,462659d19025;050f67e402d9;5ebfb5d57656;0127378417da;14d38d41ea63,462659d19025;0127378417da,462659d19025,12196,4311,299,4610,0,3,3,"Yes, but only under certain conditions. Altinn Broker is restricted to files up to **2 GB by default** because of the virus scan limitation, but you can send files larger than 2 GB if the resource has **disabled virus scan** and that has been **pre-approved** [1].

The **maximum file size** is described in two ways in the sources:
- The **theoretical maximum size** is **1.6 TB** [1].
- Another page says Altinn Broker supports file transfers up to **1600 GB without virus scanning** and up to **2 GB with virus scanning** [2].

So, the closest source-based answer is: **yes, files larger than 2 GB can be sent if virus scan is disabled and approved, and the maximum is stated as 1.6 TB / 1600 GB without virus scanning** [1][2].",
2df0e80b-b8bb-4f93-8f77-a997480a71f3,2026-06-02T16:10:18.090608Z,window-2000,ue-broker-03-store-filer-virusskann,2,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"df9c39f17a534 R23.2 P2.6 h2.0 or1.0 L693 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Very large files",,1,altinn broker maximum file size 2gb file size limit send files larger than 2gb | limited to 2gb file size | files larger than 2gb | files up to 2gb | maximum file size | file size below the configured limit,false,,0,3,2,1,462659d19025;050f67e402d9;14d38d41ea63,462659d19025;050f67e402d9,462659d19025,12143,4399,347,4746,0,3,3,"Yes, but with conditions: Altinn Broker is **restricted to files up to 2GB by default** because of the virus scan limitation, so files larger than 2GB can only be sent if the resource has **disabled virus scan** and that setup has been **pre-approved** [1].  

As for the maximum size, the documentation gives two different figures depending on scope: the **theoretical maximum size is 1.6TB** [1], while the **Initialize and upload FileTransfer** endpoint is explicitly **limited to 2GB** [2]. So the answer depends on which upload method and configuration you mean [1][2].",
61a61700-c171-4094-b4cb-30f27ca90c16,2026-06-02T16:10:31.699074Z,off,ue-broker-03-store-filer-virusskann,3,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"df9c39f17a534 R23.1 P2.6 h2.0 or1.0 L693 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Very large files",,1,altinn broker file size limit maximum file size 2gb send files larger than 2gb | limited to 2gb file size | files larger than 2gb | files up to 2gb | maximum file size | file size below the configured limit,false,,0,3,1,1,462659d19025;050f67e402d9;593b1001cb56,462659d19025,462659d19025,13605,4420,339,4759,0,3,3,"Yes, but only under certain conditions. Broker is restricted to files up to 2 GB by default because of the virus scan limitation, but you can send files larger than 2 GB if the resource has disabled virus scan, and such resources must be pre-approved. [1]

As for the maximum file size, the documentation gives two different scopes: the **theoretical maximum size** is **1.6 TB**, while Altinn Broker is only **regularly benchmarked up to 100 GB**. [1] So the answer depends on whether you mean the documented theoretical limit or the regularly tested size.",
525fe344-7f73-4cdb-b3e7-c834b4257e52,2026-06-02T16:10:44.830112Z,window-2000,ue-broker-03-store-filer-virusskann,3,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"df9c39f17a534 R23.2 P2.6 h2.0 or0.8 L693 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Very large files",,1,altinn broker maximum file size 2gb file size limit send files larger than 2gb | files up to 2gb | maximum file size,false,,0,3,2,1,462659d19025;0127378417da;14d38d41ea63,462659d19025;0127378417da,462659d19025,13128,4397,327,4724,0,3,3,"Yes, but only if the resource has **disabled virus scan**; by default, Broker is restricted to files up to **2 GB** because of the virus scan limitation, and resources that disable virus scan must be **pre-approved** [1].  

The **maximum file size** is described in two ways in the sources: one says the **theoretical maximum size is 1.6 TB** [1], while another says Altinn Broker supports file transfers up to **1600 GB without virus scanning** and up to **2 GB with virus scanning** [2]. These are effectively the same limit expressed in different units, but the source terminology differs [1][2].",
7de93e57-022f-4844-8517-51be4c7d8ac1,2026-06-02T16:10:57.544913Z,off,ue-broker-03-store-filer-virusskann,4,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,0.0,0.0,0.0,0.0,true,95,false,,false,"df9c39f17a534 R— P1.1 h1.0 or0.2 L693 0/? ty:phrase b[0.0,0.0,0.0,0.1,0.0,0.0] | Very large files","d479e27df943e R19.0 P2.5 h2.0 or0.9 L2440 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | What do you get ;; d375dd431865e R17.5 P2.6 h2.0 or1.3 L1034 2/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Send files ;; d0fd4df1a9003 R16.5 P3.7 h3.0 or0.7 L2833 1/? ty:content+metadata+phrase b[0.0,0.0,0.0,0.5,0.1,0.0] | News ;; de960d2f402e0 R15.6 P2.5 h2.0 or0.6 L962 5/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Getting started ;; db6c43b81c669 R15.4 P2.6 h2.0 or1.3 L2528 2/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Technical overview ;; dae6e914f9ecd R15.4 P2.5 h2.0 or0.5 L996 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Capabilities ;; d479e27df943e R15.3 P2.5 h2.0 or0.5 L1353 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | What do you get ;; d910e06f25460 R15.1 P2.6 h2.0 or1.3 L881 5/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Solution architecture",1,altinn broker maximum file size 2gb file size limit | altinn broker | maximum file size | limited to 2gb file size | altinn broker file store | altinn 2 broker file storage,false,,0,2,2,1,050f67e402d9;0127378417da,050f67e402d9;0127378417da,462659d19025,12713,4360,288,4648,0,3,3,"Yes, but the maximum depends on whether virus scanning is involved.

- The **/broker/api/v1/filetransfer/upload** endpoint says the **form-data initialize-and-upload** operation is **limited to 2 GB file size** [1].
- The broader Altinn Broker overview says the system supports file transfers **up to 1600 GB without virus scanning** and **up to 2 GB with virus scanning** [2].

So, if you mean the **upload endpoint described here**, the maximum is **2 GB** [1]. If you mean Altinn Broker in general, there is an ambiguity: **up to 1600 GB without virus scanning**, but only **up to 2 GB with virus scanning** [2].",
f358a32b-645a-4911-a826-482e5be1c603,2026-06-02T16:11:09.673575Z,window-2000,ue-broker-03-store-filer-virusskann,4,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"df9c39f17a534 R23.2 P2.6 h2.0 or1.0 L693 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Very large files",,1,altinn broker maximum file size 2gb file size limit send files larger than 2gb | limited to 2gb file size | files larger than 2gb | files up to 2gb | maximum file size | file size below the configured limit,false,,0,2,2,1,462659d19025;050f67e402d9,462659d19025;050f67e402d9,462659d19025,12127,4240,272,4512,0,3,3,"Yes, but only under certain conditions. Altinn Broker is restricted to files up to 2GB by default because of the virus scan limitation, but you can send files larger than 2GB if the resource has disabled virus scan and that has been pre-approved. [1]

There are two relevant size statements in the sources:

- **Default limit / upload endpoint limit:** the `POST /broker/api/v1/filetransfer/upload` endpoint is limited to **2GB** file size. [2]
- **Theoretical maximum size:** the documentation says the **theoretical maximum size is 1.6TB**, though it is only regularly benchmarked up to **100GB**. [1]

So, if you mean the normal documented limit, it is **2GB**; if virus scan is disabled and approved, larger files are possible, with a stated theoretical maximum of **1.6TB**. [1][2]",
