run-id,timestamp,config-id,question-id,repeat,dataset,source,question-tags,status,clarification-rounds,terminal-clarification?,grounding-mode,answer-substring-hit?,recall-at-5,recall-at-10,recall-at-20,citation-recall,golden-in-search-pool?,golden-in-display?,golden-read?,search-passes,insufficiency-fired?,refinement-corpus-grounded?,enrichment-hits,n-retrieved,n-cited,n-expected,retrieved-chunk-ids,cited-chunk-ids,expected-chunk-ids,elapsed-ms,prompt-tokens,completion-tokens,total-tokens,cached-tokens,llm-calls,steps-executed,response,error
df536193-f2f2-455a-95b3-bc15f82993e3,2026-05-31T17:53:34.666607Z,production,ue-broker-01-filoverforing-tilstander,0,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,1.0,1.0,1.0,1.0,true,true,true,2,false,true,41,4,1,1,218bee00be34;14c59c83a93f;f2c87d24c5be;71edc1fa4e22,218bee00be34,218bee00be34,16611,6460,508,6968,0,3,3,"En filoverføring i Altinn Formidling kan gå gjennom disse statusene, fra start til filen er slettet: **Initialisert**, **Opplasting pågår**, **Sjekk av opplasting**, **Publisert**, **Nedlastinger initiert**, **Alle bekreftet nedlastet**, og til slutt **Slettet**. [1]

Det finnes også to andre relevante slutt-/feiltilstander i modellen: **Avbrutt** og **Overføring feilet**. [1]  
Hvis du mener den “normale” flyten fram til sletting, er rekkefølgen altså: **Initialisert → Opplasting pågår → Sjekk av opplasting → Publisert → Nedlastinger initiert → Alle bekreftet nedlastet → Slettet**. [1]

Merk at konteksten også sier at filer i noen tilfeller kan forbli i **Altinn Broker File Store**, slik at prosessen kan avsluttes ved **Publisert** med separate prosesser for nedlasting og fjerning. [1]",
f53786dd-4b8b-4d8a-be4b-e100f66e9178,2026-05-31T17:53:48.574551Z,production,ue-broker-01-filoverforing-tilstander,1,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,1.0,1.0,1.0,1.0,true,true,true,1,false,,22,4,1,1,218bee00be34;38aa10a64532;14c59c83a93f;aec18611452d,218bee00be34,218bee00be34,13907,4515,463,4978,0,3,3,"En filoverføring i Altinn Formidling kan gå gjennom disse tilstandene, fra start til sletting: **Initialisert**, **Opplasting pågår**, **Sjekk av opplasting**, **Publisert**, **Nedlastinger initiert**, **Alle bekreftet nedlastet**, og til slutt **Slettet**. [1]

Det finnes også to andre relevante slutt-/avbruddstilstander i modellen: **Avbrutt** og **Overføring feilet**. [1]  
Merk at **Avbrutt** bare er mulig så lenge ingen nedlastingsprosess har startet, og at **Slettet** kan skje enten på forespørsel fra avsenderen eller etter avtalte saneringskriterier, for eksempel når alle nødvendige mottakere har bekreftet nedlastingen. [1]

Hvis du vil, kan jeg også sette dette opp som en enkel pilmodell, for eksempel:  
**Initialisert → Opplasting pågår → Sjekk av opplasting → Publisert → Nedlasti…",
7bb6fda2-6b1a-479d-a235-114dea88910e,2026-05-31T17:54:02.079874Z,production,ue-broker-02-slette-tid-tilgjengelig,0,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,1.0,1.0,1.0,0.0,true,true,true,1,false,,33,8,0,1,ff978b271bc9;0127378417da;8eb05cf419be;309ab77256e7;b54bfb7b2c2e;2edd542ced1b;f9315c3285a7;3caa21e5f977,,0127378417da,13504,10810,619,11429,2688,4,3,"In Altinn Broker, the sender controls how long a file stays available for download.

Key points from the docs:

- **Default availability:** `FileTransferTimeToLive` controls how long the file is available for download.
  - **Default:** 30 days
  - **Maximum:** 1 year

- **Deletion after recipients confirm:** If you want the file deleted once all required recipients have confirmed download, set:
  - `PurgeFileTransferAfterAllRecipientsConfirmed = true`

- **Grace period after confirmation:** If that purge setting is enabled, `PurgeFileTransferGracePeriod` controls how long the file remains available **after confirmation** before deletion.
  - **Default:** 2 hours
  - **Maximum:** 24 hours

So, in practice:
- The file is available until the **TTL expires** or until it is **purged**.
- If pur…",
d0b88ef9-ff68-42e9-a0bf-13365ebea464,2026-05-31T17:54:27.845244Z,production,ue-broker-02-slette-tid-tilgjengelig,1,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,0.0,1.0,1.0,1.0,true,true,true,1,true,,33,11,1,1,8eb05cf419be;b54bfb7b2c2e;58d70ee53466;e8fd4d7e0709;c7a8b41099e9;0127378417da;5e23b500193a;0a36ce72e13b;309ab77256e7;2edd542ced1b;ff978b271bc9,0127378417da,0127378417da,25765,41916,1093,43009,30336,8,3,"In Altinn Broker, the sender controls how long a file is available for download.

- **Default availability:** `FileTransferTimeToLive` defaults to **30 days**
- **Maximum availability:** up to **1 year**

If you want the file to be deleted after recipients confirm, use:

- **`PurgeFileTransferAfterAllRecipientsConfirmed`** = `true`
- **`PurgeFileTransferGracePeriod`** = how long the file remains available **after confirmation** before deletion
  - default: **2 hours**
  - maximum: **24 hours**

So the deletion flow is:

1. Recipients confirm download.
2. If purge-after-confirmation is enabled, the file stays available for the configured grace period.
3. After that grace period, it is deleted/purged.

If you do **not** enable purge-after-confirmation, the file remains available until the no…",
21544c4d-4e83-43b9-b777-4c2526b055e9,2026-05-31T17:54:35.133800Z,production,ue-broker-03-store-filer-virusskann,0,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,0.0,0.0,0.0,0.0,false,false,false,1,false,,20,2,1,1,0127378417da;753bfeab7314,0127378417da,462659d19025,7288,3197,230,3427,0,2,3,"Yes — according to the source, Altinn Broker supports file transfers **up to 1600 GB without virus scanning** and **up to 2 GB with virus scanning** [1].

So if you mean files larger than 2 GB, **yes, but only if virus scanning is not used**; with virus scanning enabled, the maximum file size is **2 GB** [1].",
24a7d75f-f460-40e9-a8b7-180355503049,2026-05-31T17:54:48.990655Z,production,ue-broker-03-store-filer-virusskann,1,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,1.0,1.0,1.0,1.0,true,true,true,2,false,false,43,3,2,1,462659d19025;0127378417da;14d38d41ea63,462659d19025;0127378417da,462659d19025,13856,4428,364,4792,0,3,3,"Yes, but only under certain conditions. Altinn Broker is restricted to files up to 2 GB by default because of the virus scan limitation, so files larger than 2 GB can be sent only if the resource has disabled virus scan and has been pre-approved [1].  

As for the maximum file size, the sources give two related figures: the **theoretical maximum size** is **1.6 TB** [1], and the product overview says it supports file transfers up to **1600 GB without virus scanning** and up to **2 GB with virus scanning** [2]. These are consistent in practice, since 1600 GB is about 1.6 TB [2].",
bbf6ca75-b718-4e74-b749-c28d58784c70,2026-05-31T17:55:04.129522Z,production,ue-broker-04-overgang-a2-a3-forskjeller,0,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,0.0,0.0,0.0,0.0,true,true,false,1,false,,23,6,5,1,b65c1dda9cdb;5a6f79fe08ae;01fdec6b497d;94f0fa820e54;3caa21e5f977;b54bfb7b2c2e,b65c1dda9cdb;5a6f79fe08ae;01fdec6b497d;3caa21e5f977;b54bfb7b2c2e,7c0cab211f48,15138,4444,389,4833,0,3,3,"When an Altinn 2 Broker service is transitioned to Altinn 3, consumers generally keep using the Altinn 2 service interface, but the actual file handling moves to Altinn 3. End users of the Altinn 2 service will transmit data to Altinn 3 instead of Altinn 2 data stores, and new files/status changes will happen in the Altinn 3 Broker Service Solution. [1]

For receipts, there is a clear change: receipts are no longer stored in Altinn 2. Instead, Altinn 2 returns a pseudo receipt built from Altinn 3 Broker file metadata, with `receiptId`/`ReceiptID` set to `0`. Because of that, the Altinn 2 Receipt endpoint can no longer be used to access real Broker receipts, since they do not exist there anymore. [3][4][5]

For virus scanning, the provided sources do not mention any change or specific behav…",
9bcf0b04-92de-49e9-864d-eea92c221582,2026-05-31T17:55:18.546599Z,production,ue-broker-04-overgang-a2-a3-forskjeller,1,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,0.0,1.0,1.0,1.0,true,true,true,1,false,,23,10,4,1,c050af21d82e;3815339142c4;5a6f79fe08ae;b54bfb7b2c2e;01fdec6b497d;892d34db3a67;b65c1dda9cdb;94f0fa820e54;ce1e8f486e38;7c0cab211f48,01fdec6b497d;b65c1dda9cdb;ce1e8f486e38;7c0cab211f48,7c0cab211f48,14417,4381,407,4788,0,3,3,"For consumers, the main changes are:

- **Receipts change to pseudo-receipts**: in transitioned services, receipts are no longer stored in Altinn 2; instead, Altinn 2 returns a **pseudo receipt** built from Altinn 3 file metadata, and the **ReceiptID is always 0**. [1][3]
- **External Receipt SOAP endpoint is not supported** for transitioned services; if receipt access is required, the docs say to submit a feature request. [4][1]
- **Virus scanning happens after upload in Altinn 3**, not during upload as in Altinn 2. That means an uploaded file is **not immediately available** in Altinn 3; it becomes available only after the automatic virus scan is completed. [4]
- **Files and status changes move to Altinn 3**: new files and status updates occur in the Altinn 3 Broker Service Solution, and…",
239818df-02db-4064-9303-2c65c6e59783,2026-05-31T17:55:33.771701Z,production,ue-events-01-abonnement-filtre,0,public-docs,new,"altinn-events,hard",complete,0,false,chunks+answer,true,0.0,0.0,0.0,0.0,true,true,false,1,false,,32,5,2,1,4aa2b0740446;6fcb16e12b0e;c4464cc8c17e;c1ef5ee35ec8;2db072be14eb,4aa2b0740446;6fcb16e12b0e,a7d7ed7a67e4,15224,4329,353,4682,0,3,3,"Når du oppretter et abonnement i Altinn Events, kan du sette disse filtrene:

- **resourceFilter**: filter for eventets resource; må være en eksakt match mot resource på hendelsene. For app-hendelser kan Altinn Events også fylle dette automatisk basert på en gyldig `sourceFilter` som peker til en Altinn Studio App. [1]
- **subjectFilter**: filter for cloud event `subject`; Altinn Events gjør en eksakt sammenligning. Dette er påkrevd, med mindre du er **Service owner**. [1][2]
- **sourceFilter**: valgfritt filter for cloud event `source`; kan brukes i stedet for `resourceFilter` for hendelser publisert av apper, og er med for bakoverkompatibilitet. [1]
- **alternativeSubjectFilter**: valgfritt filter for den menneskelesbare alternative subject. Altinn Events bruker dette til å generere et m…",
8d3b95a4-e958-4408-8b9b-45cc54d7ed3c,2026-05-31T17:55:47.278728Z,production,ue-events-01-abonnement-filtre,1,public-docs,new,"altinn-events,hard",complete,0,false,chunks+answer,true,1.0,1.0,1.0,1.0,true,true,true,1,false,,26,4,1,1,a7d7ed7a67e4;6fcb16e12b0e;58ad266e3627;c1ef5ee35ec8,a7d7ed7a67e4,a7d7ed7a67e4,13506,4182,356,4538,0,3,3,"Når du oppretter et abonnement i Altinn Events, kan du sette disse filtrene:

- **resourceFilter**: påkrevd. Må være et eksakt treff på ressursen som hendelsene er knyttet til, for eksempel `urn:altinn:resource:app_digdir_demoapp`. For app-hendelser kan Altinn Events noen ganger fylle dette ut automatisk fra `source` hvis `source` er en gyldig URL til en Altinn Studio App. [1]
- **subjectFilter**: påkrevd, med mindre du er **tjenesteeier**. For app-hendelser kan dette være `/party/{partyid}`, og for andre kilder kan det være `urn:altinn:organization:identifier-no:{organisasjonsnummer}` eller `urn:altinn:person:identifier-no:{fødselsnummer}`. [1]
- **sourceFilter**: valgfritt. Brukes som et alternativ til `resourceFilter` for app-hendelser, og må være en URL. [1]
- **alternativeSubjectFilte…",
