run-id,timestamp,config-id,question-id,repeat,dataset,source,question-tags,status,clarification-rounds,terminal-clarification?,grounding-mode,answer-substring-hit?,recall-at-5,recall-at-10,recall-at-20,citation-recall,n-retrieved,n-cited,n-expected,retrieved-chunk-ids,cited-chunk-ids,expected-chunk-ids,elapsed-ms,prompt-tokens,completion-tokens,total-tokens,steps-executed,response,error
21cb7462-2674-4057-b1bb-98684c230847,2026-05-21T23:47:46.329037Z,bundled-default,digdir-arsverk-2022-utforte,0,digdir,baseline,"digdir-arsverk,exact-lookup,simple,extraction",complete,0,false,chunks+answer,false,0.0,0.0,0.0,0.0,3,3,1,15ade21477ef;d4cfac5c1fad;47e3b7f2f0f8,15ade21477ef;d4cfac5c1fad;47e3b7f2f0f8,15a66d5ec5c5,98382,,,,3,"Jeg fant ikke et pålitelig utdrag fra Digdirs årsrapport 2022 som oppgir tallet for utførte årsverk per 31.12.2022, så jeg kan ikke svare eksakt uten å gjette.

Hvis du vil, kan jeg fortsette og lete mer målrettet etter selve årsrapporten eller tabellen med nøkkeltall.",
411346bc-6924-405f-8e47-25195c602936,2026-05-21T23:49:11.535481Z,bundled-default,digdir-arsverk-bilingual-scope,0,digdir,baseline,"digdir-arsverk,compound,extraction",complete,0,false,chunks+answer,false,0.0,0.0,0.0,0.0,1,1,1,98bfabec9a0d,98bfabec9a0d,15a66d5ec5c5,85205,,,,3,"I couldn’t verify the figures from the available document corpus.

What I found was unrelated Altinn/Digdir documentation, not the 2022 “Hovudtal” annual report section with the staffing table. So I can’t responsibly state the avtalte and utførte årsverk numbers without the source.

If you can share the report link or upload the relevant page/table, I can extract the exact figures quickly.",
037a5ec9-6efe-44fc-860c-c9eab4cc7802,2026-05-21T23:50:36.216410Z,bundled-default,digdir-arsverk-lonn-2020-2023,0,digdir,baseline,"digdir-arsverk,compound,extraction,temporal",complete,0,false,chunks+answer,false,0.0,0.0,0.0,0.0,5,0,2,4d86c6513742;8948e20a73da;15ade21477ef;914991e4b3c5;9639bd7976a3,,15a66d5ec5c5;6aefa3a05c7d,84680,,,,3,,
0e79d3c9-6f9d-4de2-8c43-0b5dfee60132,2026-05-21T23:52:04.551734Z,bundled-default,digdir-utforte-arsverk-2018-2023-anchored,0,digdir,exploratory,"digdir-arsverk,compound,extraction,temporal,hard",complete,0,false,chunks+answer,false,0.0,0.0,0.0,0.0,4,0,2,b7ace16546e9;4a9d9c364459;e1ae97462cea;2d0fde59ac05,,15a66d5ec5c5;6aefa3a05c7d,88335,,,,3,,
88c23b95-3bd5-47d8-ace0-f3d96f700858,2026-05-21T23:53:03.186170Z,bundled-default,digdir-tilsette-lonn-2020-2023,0,digdir,exploratory,"digdir-arsverk,compound,extraction,temporal",complete,0,false,chunks+answer,false,0.0,0.0,0.0,0.0,0,0,2,,,15a66d5ec5c5;6aefa3a05c7d,58628,,,,3,"Eg klarte ikkje å hente verifiserte tal frå sjølve Hovudtal-tabellane i Digdirs årsrapportar med det tilgjengelege søket, så eg kan ikkje gi deg eit påliteleg svar utan å risikere å finne på tal.

Det eg manglar er:
- lesbare utdrag frå årsrapport 2022 og 2023
- dei konkrete verdiane for **tilsette** og **lønsutgifter per årsverk** for 2020, 2021, 2022 og 2023
- stadfesting av at dokumenta faktisk er Digdirs årsrapportar

Om du vil, kan eg prøve igjen dersom du gir meg:
- lenke til årsrapportane, eller
- PDF-filene, eller
- eit utdrag/bilete av Hovudtal-tabellane

Så kan eg trekkje ut tala for deg med ein gong.",
7fc765b0-bead-4d40-a10f-7c4b4c3dec79,2026-05-21T23:53:17.354954Z,bundled-default,altinn-broker-getting-started,0,public-docs,public-docs-smoke,"simple,navigational,altinn-broker",complete,0,false,chunks+answer,true,0.0,0.0,0.0,0.0,1,1,1,989cc83e5afc,989cc83e5afc,9584a6e89afc,14168,,,,3,"For å komme i gang med **Altinn Broker** under overgangen til **Altinn 3**, peker kildene på at du skal bruke **Altinn 3 Formidling overgangsløsning** og følge dokumentasjonen for **Hvordan komme i gang**. [1]

Siden siden også sier at tjenesteeiere som har formidlingstjenester i **Altinn II** må **reetablere disse i Altinn 3 i god tid før 19. juni 2026**, er det viktig å starte overgangen tidlig. [1]

Hvis du vil, kan jeg også hjelpe deg med å finne de konkrete stegene i **“Hvordan komme i gang”**-delen.",
ad3b21b1-643f-4412-90e0-14d3d880bef4,2026-05-21T23:53:37.491099Z,bundled-default,altinn-broker-technical-overview,0,public-docs,public-docs-smoke,"exact-lookup,simple,open-ended,altinn-broker",complete,0,false,chunks+answer,true,0.0,0.0,0.0,0.0,10,5,1,b35b658d8c9b;3815339142c4;e71b5a7bc1ff;01fdec6b497d;b555599db80f;63e3857a5897;b65c1dda9cdb;94f0fa820e54;da85a86a3f0d;8aba253d24c8,b35b658d8c9b;e71b5a7bc1ff;01fdec6b497d;63e3857a5897;b65c1dda9cdb,63c3d3e28820,20135,,,,3,"Den tekniske arkitekturen i overgangsfasen for **Altinn Broker** er **Altinn 3 Broker Transition Solution**, der en **intern Altinn 2 bridge** videresender Broker-forespørsler fra Altinn 2 til Altinn 3 for en gitt forespørsel, basert på **ServiceCode/ServiceEditionCode**-kombinasjonen. Dette er en implementasjon av **soft shift solution**-arkitekturen beskrevet for overgang fra Altinn 2 til Altinn 3. [4]

I praksis betyr dette at:
- **Tjenesteeiere** kan få Altinn 2 Broker Services overført til Altinn 3 Resources. [5]
- **Sluttbrukere** sender da data til **Altinn 3** i stedet for Altinn 2 sine datalagre. [5]
- **Nye filer og statusendringer** skjer i Altinn 3 Broker Service Solution. [5]
- **Autentisering og autorisasjon** skjer primært i API-endepunktet som kalles, altså i Altinn 2 eller…",
d10fbdf3-3196-4d37-98d3-7ce4be7e36e7,2026-05-21T23:53:53.518759Z,bundled-default,altinn-dialogporten-about,0,public-docs,public-docs-smoke,"altinn-dialogporten,exact-lookup,simple",complete,0,false,chunks+answer,true,1.0,1.0,1.0,1.0,7,1,1,9f75a7784e9b;66335015006e;4a9ad6cd2bd1;0f76a4965326;fa42f12f0e96;15caa4bf8ead;e4deb94ea9c5,9f75a7784e9b,9f75a7784e9b,16027,,,,3,"Dialogporten er en løsning som gjør meldinger og dialoger implementert på Altinn 3 og andre digitale tjenesteplattformer tilgjengelige for sluttbrukersystemer i et felles format. [1]  

Den brukes altså som en felles kanal/oversikt for dialoger og meldinger mellom brukere, tjenesteplattformer og felles funksjonalitet i Altinn. [1]",
44cee5be-2aaf-4548-8c78-d5dcbe683f47,2026-05-21T23:54:30.623896Z,bundled-default,altinn-studio-create-user,0,public-docs,public-docs-smoke,"simple,altinn-studio,navigational",complete,0,false,chunks+answer,true,0.0,0.0,0.0,0.0,12,2,1,1dc794bca3d7;9ae89177238d;1f20df1d350b;1ce045e4ea2f;ace59cbcb651;79fcd70d01e9;ae8295fb1ae4;bc2e044238be;399dd12914ed;6ffccfc7fd2a;7a010b4280f0;f460db60d7b4,1dc794bca3d7;79fcd70d01e9,0fac42eefdc4,37104,,,,3,"For å opprette en bruker i **Altinn Studio v8**, går du til **altinn.studio** og velger **“Create new user”**. Deretter registrerer du deg via **Ansattporten**, logger inn med for eksempel **BankID** eller **MinID**, og fyller inn **brukernavn, e-post, passord og captcha** før du klikker **“Complete”**. Brukeren i Altinn Studio blir da koblet til din Ansattporten-bruker. Til slutt må du **aktivere kontoen** via e-posten du får tilsendt. [2]

Hvis du allerede har en Altinn Studio-bruker fra før, kan du også koble den eksisterende kontoen til **Ansattporten** ved å logge inn med Ansattporten og velge **“Connect to existing account”**. [1]",
e92e529f-9a4b-4ffb-9ee2-2ef8803a91f3,2026-05-21T23:54:49.537212Z,bundled-default,altinn-studio-datamodeling,0,public-docs,public-docs-smoke,"simple,altinn-studio,navigational",complete,0,false,chunks+answer,true,0.0,0.0,0.0,0.0,9,7,1,ad84e478aa32;acd4b81bf0f8;1b01e940366f;6fe25fb74adf;9690d6108ad6;507447d81612;6f85679f5fbd;22bdafbb75bb;84d91a6756f2,ad84e478aa32;acd4b81bf0f8;1b01e940366f;6fe25fb74adf;507447d81612;22bdafbb75bb;84d91a6756f2,2f6cee8d5f5e,18913,,,,3,"I Altinn Studio v8 definerer du en datamodell i **Data Modeling**-verktøyet, som brukes til å lage, importere eller redigere datamodeller. Verktøyet støtter **JSON og XML**, og kan også **importere datamodeller fra SERES**. [3][5]

Datamodeller for apper ligger i repoet under `App/models`, og en app har normalt fire modellfiler: **C# data model** (`<model>.cs`), **JSON Schema** (`<model>.schema.json`), **XSD data model** (`<model>.XSD`) og **JSON metadata** (`<model>.metadata.json`). [1]

Hvis du skal lage en ny modell fra bunnen av, kan du velge **Lag ny** i datamodellverktøyet. For Altinn 2 må du også legge til `@xsdRootElement` på roten i `{model}.schema.json`, for eksempel `""@xsdRootElement"": ""melding""`. [4]

Hvis du starter med en eksisterende XSD, kan den lastes opp i verktøyet og re…",
