run-id,timestamp,config-id,question-id,repeat,dataset,source,question-tags,status,clarification-rounds,terminal-clarification?,grounding-mode,answer-substring-hit?,recall-at-5,recall-at-10,recall-at-20,citation-recall,n-retrieved,n-cited,n-expected,retrieved-chunk-ids,cited-chunk-ids,expected-chunk-ids,elapsed-ms,prompt-tokens,completion-tokens,total-tokens,steps-executed,response,error
d02bbf75-4ace-4a38-95e8-4edf96c0f793,2026-05-24T16:49:57.338968Z,weights-default,altinn-broker-getting-started,0,public-docs,public-docs-smoke,"simple,navigational,altinn-broker",complete,0,false,chunks+answer,true,0.0,0.0,0.0,0.0,8,2,1,94f0fa820e54;be9e02a668a7;b395c6a6f359;708867cb3963;8a7e9397c23f;a6b5678aa6e5;c050af21d82e;bc169ad3ed4b,c050af21d82e;bc169ad3ed4b,9584a6e89afc,20165,,,,3,"For å komme i gang med **Altinn Broker Transition Solution** må en tjenesteeier følge disse stegene: [1]

1. Ha en eksisterende **Altinn 2 Broker Service**. [1]  
2. Ha eller opprett en tilsvarende **Altinn 3 Broker Resource**. Du finner generell oppstart for Altinn Broker her: [Getting Started with Altinn Broker](/en/broker/getting-started/). Ressursen må også konfigureres for overgangsløsningen. [1]  
3. Be om en **transition setup** fra Altinn 2-tjenesten til Altinn 3-ressursen. [1]  
4. Gå live med overgangsløsningen og oppfordre brukere til å migrere til Altinn Broker. [1]  
5. Når alle brukere har migrert til Altinn Broker, kan du avvikle den gamle Altinn 2 Broker Service. [1]

For å få ressursen til å fungere som en overgangsløsning, bør du sette verdiene slik at de samsvarer med de…",
330650ba-96f6-4520-8032-924d1ce7d964,2026-05-24T16:50:16.896386Z,weights-default,altinn-broker-getting-started,1,public-docs,public-docs-smoke,"simple,navigational,altinn-broker",complete,0,false,chunks+answer,true,0.0,0.0,0.0,0.0,14,2,1,18dd59e10823;7cb98e5ee894;c050af21d82e;bc169ad3ed4b;02448e8b52b3;a1fcc9aae0fa;9fb411afc088;a6b5678aa6e5;0a36ce72e13b;94f0fa820e54;9269cd53c390;f9ee273be3a9;a83186a0b089;ef73ed289c2a,c050af21d82e;bc169ad3ed4b,9584a6e89afc,19557,,,,3,"For å komme i gang med **Altinn Broker under overgangen til Altinn 3**, må du følge disse stegene [1]:

1. Ha en eksisterende **Altinn 2 Broker Service** [1].  
2. Opprett eller ha en tilsvarende **Altinn 3 Broker Resource** [1].  
3. Be om en **transition setup** fra Altinn 2-tjenesten til Altinn 3-ressursen [1].  
4. Gå live med overgangsløsningen og oppfordre brukerne til å migrere til **Altinn Broker** [1].  
5. Når alle brukere har migrert, kan du avvikle den gamle **Altinn 2 Broker Service** [1].

For å få ressursen til å fungere riktig i overgangsløsningen, bør du også konfigurere den med verdier som matcher Altinn 2-tjenesten der det er relevant, for eksempel **MaxFileTransferSize**, **FileTransferTimeToLive**, **PurgeFileTransferAfterAllRecipientsConfirmed** og **PurgeFileTransfer…",
934e31a2-38c7-4c8f-8630-a8b71393bda4,2026-05-24T16:50:29.224922Z,weights-default,altinn-broker-getting-started,2,public-docs,public-docs-smoke,"simple,navigational,altinn-broker",complete,0,false,chunks+answer,true,0.0,0.0,0.0,0.0,1,1,1,989cc83e5afc,989cc83e5afc,9584a6e89afc,12327,,,,3,"For å komme i gang med **Altinn Broker under overgangen til Altinn 3**, peker kildene på at du bør bruke **Altinn 3 Formidling overgangsløsning** og følge dokumentasjonen for **Hvordan komme i gang**. [1]

Siden Altinn II slås av **19. juni 2026**, må tjenesteeiere som har formidlingstjenester i Altinn II **reetablere disse i Altinn 3 i god tid før denne datoen**. [1]

Relevante innganger i dokumentasjonen er: **Om Altinn Formidling**, **Hva får du?**, **Hvordan komme i gang**, **Konsepter**, **Altinn 3 Formidling overgangsløsning** og **Referansedokumentasjon**. [1]

Hvis du vil, kan jeg også hjelpe deg med å finne den mest relevante siden for **oppstart**, **overgangsløsning** eller **API-integrasjon**.",
6fd5e397-4ea5-4023-a35e-397948a597ec,2026-05-24T16:50:48.577927Z,weights-default,altinn-broker-technical-overview,0,public-docs,public-docs-smoke,"exact-lookup,simple,open-ended,altinn-broker",complete,0,false,chunks+answer,true,0.0,0.0,0.0,0.0,9,4,1,b35b658d8c9b;4b02864dfddd;3815339142c4;e71b5a7bc1ff;01fdec6b497d;63e3857a5897;94f0fa820e54;e21b490e680b;8aba253d24c8,3815339142c4;01fdec6b497d;63e3857a5897;e21b490e680b,63c3d3e28820,19352,,,,3,"Den tekniske arkitekturen i overgangsfasen beskrives som **Altinn 3 Broker Transition Solution** / **Altinn 3 Formidling overgangsløsning**, der en **intern Altinn 2 bridge/service bridge** videresender Broker-forespørsler fra Altinn 2 til Altinn 3 for en gitt forespørsel, basert på **ServiceCode/ServiceEditionCode**-kombinasjonen [1][3][4].

Kort oppsummert:
- **Altinn 2** fungerer som inngang for eksisterende brukere og tjenester, men kan rute enkelte Broker-forespørsler videre til Altinn 3 [2][3][4].
- **Altinn 3 Broker** håndterer lagring av fildata og metadata i Altinn 3, mens Altinn 2 bare kaller Altinn 3 [2].
- Løsningen krever både en **Altinn 2 service** med tilhørende autorisasjon i SRR og en **Altinn 3 Broker Resource** med tilgang definert i **Resource Registry** [2].
- For for…",
c7f92ed9-b448-45a1-8868-c90cda43fb85,2026-05-24T16:51:30.727344Z,weights-default,altinn-broker-technical-overview,1,public-docs,public-docs-smoke,"exact-lookup,simple,open-ended,altinn-broker",complete,0,false,chunks+answer,true,1.0,1.0,1.0,1.0,10,5,1,b35b658d8c9b;e71b5a7bc1ff;9b5b6b227ea8;63c3d3e28820;5bf7538943b5;5c9c216c8c1f;94f0fa820e54;5d9c89c1afec;c48747e2b5eb;8aba253d24c8,b35b658d8c9b;e71b5a7bc1ff;63c3d3e28820;5d9c89c1afec;c48747e2b5eb,63c3d3e28820,42149,,,,3,"Den tekniske arkitekturen i overgangsfasen for Altinn Broker er en **Altinn 2-basert overgangsløsning med en intern “Altinn 3 Broker Transition Service Bridge”** som ruter formidlingsforespørsler fra Altinn 2 til Altinn 3 for en gitt forespørsel, basert på **ServiceCode/ServiceEdition**-kombinasjonen. [3]

Kort sagt innebærer dette at:

- **Altinn 2 fungerer som inngangspunktet** for eksisterende formidlingstjenester som skal overføres til Altinn 3. [3][5]
- En **intern komponent i Altinn 2** (“Altinn 3 Broker Transition Service Bridge”) overfører forespørslene videre til Altinn 3. [3]
- **Data og metadata lagres i Altinn 3**, mens Altinn 2 kun brukes til å rute tjenestekallene i overgangsperioden. [5]
- Det kreves både en **Altinn 2-tjeneste** med autorisasjonsoppsett og en **Altinn 3 Bro…",
0ebccadf-7d6c-4976-9749-f8e47163bf92,2026-05-24T16:51:54.824215Z,weights-default,altinn-broker-technical-overview,2,public-docs,public-docs-smoke,"exact-lookup,simple,open-ended,altinn-broker",complete,0,false,chunks+answer,true,0.0,0.0,0.0,0.0,10,4,1,b35b658d8c9b;3815339142c4;e71b5a7bc1ff;01fdec6b497d;b555599db80f;63e3857a5897;b65c1dda9cdb;94f0fa820e54;da85a86a3f0d;8aba253d24c8,3815339142c4;e71b5a7bc1ff;01fdec6b497d;63e3857a5897,63c3d3e28820,24088,,,,3,"Den tekniske arkitekturen i overgangsfasen for Altinn Broker er **Altinn 3 Broker Transition Solution**, der en intern **Altinn 2 bridge / transition service bridge** videresender Broker-forespørsler fra Altinn 2 til Altinn 3 basert på **ServiceCode/ServiceEditionCode**-kombinasjonen i forespørselen [1][4].

Kort oppsummert innebærer dette at:

- Altinn 2 fungerer som inngangspunkt for eksisterende Broker-tjenester, men forespørsler kan rutes videre til Altinn 3 via den interne bridge-komponenten [1][4].
- Autentisering og autorisasjon skjer primært i API-endepunktet som kalles; i Altinn 2 skjer dette på tjenestenivå før kall videresendes til Altinn 3, mens Altinn 3 håndterer dette internt [3].
- Løsningen krever både en **Altinn 2 service** med tilhørende autorisasjonsoppsett i SRR og en …",
fb3b3d6f-12aa-4e18-8a29-f9c9ed023e2b,2026-05-24T16:52:09.709387Z,weights-default,altinn-dialogporten-about,0,public-docs,public-docs-smoke,"altinn-dialogporten,exact-lookup,simple",complete,0,false,chunks+answer,true,1.0,1.0,1.0,1.0,4,1,1,9f75a7784e9b;fa42f12f0e96;15caa4bf8ead;e4deb94ea9c5,9f75a7784e9b,9f75a7784e9b,14885,,,,3,"Dialogporten er en løsning som gjør meldinger og dialoger implementert på Altinn 3 og andre digitale tjenesteplattformer tilgjengelige for sluttbruker-systemer i et felles format. [1]

Den brukes altså som et felles grensesnitt/format for dialoger og meldinger mellom brukere, tjenesteplattformer og fellesfunksjonalitet i Altinn. [1]",
479cd804-e0cf-4ff3-89d8-19167cd2cc82,2026-05-24T16:52:28.827532Z,weights-default,altinn-dialogporten-about,1,public-docs,public-docs-smoke,"altinn-dialogporten,exact-lookup,simple",complete,0,false,chunks+answer,true,1.0,1.0,1.0,1.0,7,2,1,9f75a7784e9b;965b3916f9e2;0f76a4965326;a233d1c22ebe;75962c2f79c6;f7096af67243;8975adfe0a0a,9f75a7784e9b;965b3916f9e2,9f75a7784e9b,19117,,,,3,"Dialogporten er en løsning som fungerer som et felles API og en metadata-lager for digitale dialoger, med mål om å gjøre sikker og effektiv kommunikasjon mellom offentlige tjenesteplattformer og brukere enklere gjennom en standardisert måte å håndtere digitale dialoger og meldinger på. [2]

Den brukes også til å vise meldinger og dialoger fra Altinn 3 og andre digitale tjenesteplattformer i et felles format for sluttbrukersystemer. [1]",
47b0843b-0ea7-4306-b114-91774499663b,2026-05-24T16:52:43.551191Z,weights-default,altinn-dialogporten-about,2,public-docs,public-docs-smoke,"altinn-dialogporten,exact-lookup,simple",complete,0,false,chunks+answer,true,1.0,1.0,1.0,1.0,4,3,1,9f75a7784e9b;4a9ad6cd2bd1;66335015006e;0f76a4965326,9f75a7784e9b;4a9ad6cd2bd1;0f76a4965326,9f75a7784e9b,14722,,,,3,"Dialogporten er en løsning som tillater meldinger og dialoger implementert på Altinn 3 og andre digitale tjenesteplattformer å være tilgjengelige for sluttbruker-systemer i et felles format. [1]

Det finnes også en API-referanse for Dialogporten, men selve spørsmålet «Hva er Dialogporten?» passer best med denne overordnede beskrivelsen av løsningen. [2][3]",
a97e6a93-9d0c-4e31-a9e5-093184e0b3fb,2026-05-24T16:53:02.904717Z,weights-default,altinn-studio-create-user,0,public-docs,public-docs-smoke,"simple,altinn-studio,navigational",complete,0,false,chunks+answer,true,0.0,0.0,0.0,0.0,11,3,1,610b6c1759c8;1dc794bca3d7;9ae89177238d;c0474358b2bb;7eb864009b78;79fcd70d01e9;ae8295fb1ae4;399dd12914ed;7a010b4280f0;f460db60d7b4;2d8d04785860,610b6c1759c8;79fcd70d01e9;ae8295fb1ae4,0fac42eefdc4,19352,,,,3,"For å opprette en bruker i Altinn Studio v8 følger du stegene under **“Create user in Altinn Studio”** [2]:

1. Gå til [altinn.studio](https://altinn.studio) og klikk **“Create new user”** [2].  
2. Registrer deg via **Ansattporten** [2].  
3. Logg inn i Ansattporten med for eksempel **BankID** eller **MinID** [2].  
4. Opprett en Altinn Studio-bruker ved å fylle inn **username**, **email**, **password**, captcha og klikke **“Complete”** [2].  
5. Aktiver kontoen din via e-posten du får tilsendt [2].  
6. Gi Altinn Studio-applikasjonen tilgang til brukerkontoen din [2].  

Etter at kontoen er aktivert, kan du klikke på logoen øverst til venstre for å gå til dashboardet ditt [2].

Hvis du mener noe annet med “oppretter jeg en bruker” — for eksempel å **legge til en bruker i en organisasjon/…",
